SQUARE_FT,LONGITUDE,LATITUDE,TARGET
800,19.18,72.96333,95
802.0415603,28.66667,77.41667,22
610.0660905,13.069866,80.198423,48
1680.107527,28.861993,78.756315,75
1150.136038,19.980678,79.297436,93
1550.114497,28.576117,77.382136,88
1699.834163,28.6711,77.3683,82
1600.170685,9.952439,76.3632965,75
600.0566091,18.75,73.08,21.2
1429.200617,30.661104,76.746082,64.9
1115.137998,13.008071,77.651295,80
2750.929368,27.216013,77.950834,74
1811.196487,23.35556,85.33472,99
1045.036079,22.43917,88.39583,42
3433.996566,28.403138,77.070052,340
1298.219585,12.840956,77.659441,70
1109.165207,13.278237,74.747328,38
1304.034182,18.96,72.82,470
1041.195111,28.59632,77.38143,46
2135.748916,28.394375,77.357227,83.7
1850.180505,28.579004,77.431173,82
1665.080875,23.166495,72.63429,70
398.2621289,26.707154,80.982346,11
1005.025126,12.80009,77.71182,48
4900.959771,18.5438,73.9438,240
1294.016156,19.128324,72.825408,330
1536.806516,28.6423,77.3445,100
1123.188406,12.9816,77.6729,62
800.1939864,26.955346,75.734793,16.5
2655.807365,19.239813,72.962722,300
1513.775356,12.905368,77.580403,100
1280,9.930471,76.271273,48
410.0678733,28.568846,77.324966,14.5
3429.355281,22.312063,72.674296,100
890.0451869,28.582887,77.339935,65
977.7082519,22.1764,75.8193,25
1099.855282,12.977126,77.577724,38
1050.241272,26.29564,73.03943,37
1400.241838,26.900926,75.775927,57.9
1740.139211,19.048979,73.078232,180
1149.131767,24.69028,78.41889,180
650.1950585,11.026678,76.903583,20
1355.01355,26.878068,75.779856,85
1800.072003,12.96991,77.59796,150
907.6305221,21.56128,74.21238,33.9
1636.296021,13.141581,77.749756,88
900.2520706,22.261354,73.215533,25
1318.044023,12.905538,77.694263,100
1949.586451,30.684523,76.691728,99
1643.36522,9.930471,76.271273,67
1233.045623,18.96,72.82,210
655.0802139,18.964489,73.019574,49
1180.173092,12.96991,77.59796,75
1200.087279,28.6711,77.3683,55
6974.645114,22.53028,88.33417,1700
2700.075602,28.535689,77.359671,250
850.0991782,26.928785,75.828002,30
2636.296531,12.8855,77.5638,250
900.0163639,12.928575,77.585721,55
2472.952087,18.475864,73.890009,160
904.0656205,20.098413,79.10786,50.7
265.0033933,19.1145,72.8712,82
1570.306924,26.16667,75.78333,110
955.4140127,19.255098,72.9815265,150
1000,28.593566,77.362752,60
2494.747899,12.995285,77.766797,95
1150.130348,13.1101,80.2095,75
1210.136674,19.0168,73.09646,85
1365.001365,19.126499,72.99956,200
499.6366279,19.255098,72.9815265,110
1050.144395,22.271214,73.188827,40
476.0204689,13.020957,80.152774,40
985.452839,28.538774,77.366515,21
1045.296167,28.368269,77.37273,24
1301.89498,12.86,77.786,90
2000,28.2102,76.8606,38
4465.709729,28.526624,77.376718,280
1192,20.286571,85.810906,59.6
1846.153846,22.5922,88.484911,120
448.5310608,19.221571,73.042474,120
750.0604887,28.66667,77.41667,31
1060.070671,19.040066,73.115347,72
1415.09434,12.8458,77.6727,79.5
1160.062565,18.96,72.82,89
1690.024732,19.1615,72.8731,410
1672.762741,28.495803,77.426848,68.6
1315.265046,20.606469,72.913465,33
650.026001,19.245347,73.124577,50
540.1755571,19.585537,72.836868,16
1830.065359,20.098413,79.10786,98
1575.157516,28.66667,77.41667,70
1530,12.904179,77.665897,76.5
619.6377502,12.758604,77.700377,26
2200,21.17,72.83,110
1757.188498,40.67197199,-86.15292909,77
1087.885617,19.239813,72.962722,140
1199.862873,12.880993,77.557654,70
1265.035255,13.033421,77.603954,61
676.0453302,22.301625,88.242147,17.3
800,28.678014,77.38296,42
750.0750075,22.486821,88.233267,25
1500,13.086769,80.191135,150
1814.285714,20.257483,85.780142,88.9
1195.652174,24.69028,78.41889,110
1395.032324,26.900926,75.775927,41
850.1594049,19.696531,72.767746,24
909.4339623,12.957707,80.183671,48.2
910.0937672,25.248438,83.014116,33
1850.070303,12.96991,77.59796,250
2069.857697,28.546788,77.378494,160
820.0082001,19.18,72.96333,140
1241.80752,23.182972,72.611485,36
1014.120668,18.5438,73.9438,79
2302.158273,30.697795,76.714722,160
900.0782677,24.69028,78.41889,69
898.5074627,26.154874,91.670312,30.1
2235.294118,26.91667,75.86667,190
1350,28.5679,77.3679,81
1100.110011,18.485487,73.803773,70
612.1199755,12.8356,80.1682,30
1100.352113,20.892133,77.741664,25
5194.805195,28.522931,77.357078,400
1475.256769,28.506454,77.409568,79
2780.191138,28.558047,77.392752,160
300.0260892,24.69028,78.41889,11.5
1000,17.7,83.25,50
1532.720245,19.1615,72.8731,230
995.8314034,22.311323,73.121275,21.5
1646.706587,28.406794,76.936447,110
2350.965575,30.664299,76.817624,56
534.061239,28.34532,77.299035,45
1100,19.218498,72.992114,110
1968.888889,26.16667,91.76667,88.6
2196.354052,28.536585,77.383669,100
2400,22.281215,70.789479,300
1650.252861,18.49667,73.94167,62
632.0572845,19.402549,72.854418,45.9
1034.965035,26.882832,81.033767,37
965.0439631,18.96,72.82,90
600.5495224,24.69028,78.41889,45.9
984.8484848,19.255098,72.9815265,130
1700.060716,19.05871,72.89969,420
546.0145604,19.18,72.96333,58.5
1195.499297,22.55,72.9,17
1677.468547,18.914541,72.818211,220
1699.716714,28.629811,77.434197,48
1075.027996,28.602325,77.401994,48
485.790072,19.222101,72.988231,64.1
929.8998569,12.919423,77.522774,52
1438.021283,19.124896,72.893503,600
5299.954894,12.91668,77.59196,470
1020.181859,13.055985,77.622157,46
1070.135002,28.6423,77.3445,65
2400.384061,13.603543,79.460402,50
1767.388826,17.546483,78.480303,77.5
524,18.6182,73.7447,26.2
923.7875289,28.359199,76.836683,120
1657.275439,12.9223,77.5532,100
680,19.1759,72.9522,170
1100.478469,22.3301,73.1611,23
1701.694915,21.152442,81.090184,50.2
451.0309278,28.689982,77.339807,14
2727.856226,22.54111,88.33778,85
1000,18.11667,83.41667,30
1790.18976,28.388225,76.946376,100
1100.352113,22.598675,88.438512,25
1232.162459,28.381971,77.347688,44.9
497.988891,26.13722,91.62778,26
1726.017442,12.995285,77.766797,95
1320.052802,18.5438,73.9438,110
990.0990099,21.250076,81.660749,25
675.0441375,24.69028,78.41889,65
674.0361283,10.5339,76.2085,25
775.1114886,28.543278,77.358896,36.5
718.1042049,19.12,72.91,180
3200,28.429614,77.481711,180
945.1795841,24.586021,80.787404,30
1089.028042,20.07911,73.911636,160
942.1518749,12.96991,77.59796,50
1370,19.980678,79.297436,82.2
1265.111049,9.90708,78.102316,90
1394.31121,24.69028,78.41889,100
800,12.80009,77.71182,27
1505.144771,30.662283,76.822397,62.9
1067.270375,25.232239,71.392013,33
1400.059577,12.913771,77.768321,94
728.9473684,26.807408,75.838659,27.7
1293.103448,26.900926,75.775927,37.5
106469.0027,24.69028,78.41889,9480
2939.624633,28.403138,77.070052,390
1431.068385,30.661104,76.746082,65.5
1350.063532,12.96991,77.59796,85
750.1630789,21.189685,72.841062,23
1170.074459,24.69028,78.41889,99
1121.076233,24.69028,78.41889,45
1904.761905,30.714837,76.751896,100
7054.132802,28.388225,76.946376,460
950.0285009,19.1758,72.8643,150
969.9321048,12.852041,77.616315,40
636.0078278,19.038205,73.06612,52
4578.507945,12.929162,77.629041,340
700.0259269,18.5823,73.983,27
1859.637775,19.218498,72.992114,230
1700.186606,31.097061,77.154897,82
1847.187238,28.397468,76.945489,110
509.5541401,18.966114,73.148278,40
1427.424391,22.56972,88.36972,160
715.0518413,26.532207,75.520538,20
1393.214227,19.062322,72.880754,85
900.3215434,30.768683,76.650876,22.4
1000,19.18,72.96333,120
800,26.209302,78.194369,35
445.0304928,20.084522,72.900306,54
1125.175809,12.96991,77.59796,56
1015.113918,19.283359,72.864964,90
1200.417537,23.185756,77.498465,23
1060.147122,13.23,77.7,49
1654.846336,9.930471,76.271273,70
1175.121811,22.54111,88.33778,41
412.0213282,20.379289,72.932048,8.5
1877.435352,22.340396,73.19706,53
1150.121065,50.817397,4.42145,38
910.0529101,22.281878,70.752639,43
1080,13.010349,77.712151,32.4
1902.843071,12.96991,77.59796,170
850.4606662,22.1764,75.8193,12
1051.223242,19.18,72.96333,110
945.0617925,24.69028,78.41889,91
570.0958798,23.259859,77.427777,22
1050.070432,19.049989,73.077321,82
1785.060417,19.1145,72.8712,390
800,22.403867,88.470006,35
750.0551511,12.919987,77.489265,34
1129.908619,28.409274,77.322293,91.5
2857.142857,22.1764,75.8193,120
896.6801117,30.662283,76.822397,28.9
900.116144,16.198332,77.34239,31
1870.32419,28.874383,77.113251,75
1288.102262,13.0306,77.6485,78.6
2461.538462,26.91868,75.750399,160
1066.408143,22.288976,73.128222,22
4299.996417,19.139348,72.820458,1200
816.8491699,19.0167,72.8167,370
1261.625556,28.874383,77.113251,31.2
1160.092807,13.0583,77.5732,45
828.7063893,12.91668,77.59196,100
2015.021066,13.010349,77.712151,110
2765.784114,26.928785,75.828002,67.9
790.0334245,12.863492,77.74143,26
1358.024691,13.09,80.27,110
850.1594049,21.800275,72.604993,24
1115.075825,18.973908,73.025106,100
406.3088686,20.742166,80.104602,110
1080.080235,22.519728,88.38573,70
3621.234302,12.96991,77.59796,470
10050.25126,28.548382,77.327819,1200
1150.0069,19.05871,72.89969,250
2489.40678,12.980033,77.699328,94
1894.179894,25.3945,81.8615,53.7
4000,28.644695,77.338956,140
1269.146608,22.727017,75.934041,40.6
3458.366587,28.560719,77.386208,260
835.2668213,29.9055,75.2547,25.2
1185.146168,22.54111,88.33778,90
1289.872756,13.23,77.7,74
2100,11.931023,79.828222,210
3167.898627,21.189685,72.841062,150
433333.3333,9.893479,76.408774,65
845.007783,12.9974,80.0966,38
850,21,77,27.2
923.0100988,24.69028,78.41889,85
1490.312966,16.531879,80.670951,60
1480.019734,26.222384,85.862108,60
1510.159253,12.8706,77.6279,110
453.0166793,24.69028,78.41889,66
999.6079969,22.12947,73.41756,25.5
1000,21.105779,79.078497,30
1350.135014,12.840956,77.659441,60
1231.578947,12.88784,77.654131,46.8
829.8850575,13.034709,80.105584,36.1
1069.782752,28.629811,77.434197,32.5
610.0273241,19.147866,72.932609,96
2030.205496,30.698017,76.679016,82
978.7377658,28.368269,77.37273,29
1503.225806,26.91868,75.750399,46.6
804.8649615,12.808137,77.58308,45
1400.051854,20.277511,85.810411,54
1251.091068,21.235342,72.917751,43
1850.424056,28.2102,76.8606,48
711.0877008,12.732961,77.707059,27
540.0540054,28.689982,77.339807,24
748,22.617564,88.427982,18.7
1166.039111,12.96991,77.59796,96
943.057302,19.12,72.91,210
1700.071582,22.221142,88.281267,190
2175.202689,26.900926,75.775927,110
2181.818182,12.9259,77.6229,240
1700.071582,27.56667,80.68333,95
1080.246914,26.157856,91.827348,35
1276.127613,13.04034,77.591347,58
2735.016019,12.96991,77.59796,350
988.0395216,19.12,72.91,190
935.0788138,22.5,88.35,35
550.0207555,19.050992,73.017947,53
1094.890511,30.684523,76.691728,51
6397.725253,28.488415,77.285903,360
1150.01465,27.16726,75.709505,78.5
936.1348034,10.999392,76.997254,45
1150.030066,18.5993,73.7625,76.5
3810.431055,13.04034,77.591347,320
1173.020528,10.036626,77.482482,84
2541.699762,12.925027,80.235348,160
950.1648245,28.535783,77.400502,49
1045.12276,12.985206,77.663799,63
1969.667126,18.5853,73.7413,100
930.0661778,20.042481,74.473635,52
1071.080818,19.2167,73.0833,55
1400.208986,30.651192,76.755011,67
1176.470588,30.387136,75.865105,200
1925.925926,30.692243,76.750614,130
1053.001053,23.19635,72.633149,30
1051.156272,12.96991,77.59796,45
988.5365491,18.510418,73.781944,66.4
1300.034211,11,76.96667,38
850.0028333,24.69028,78.41889,150
948.6166008,28.66667,77.41667,31.2
1760.198799,9.930471,76.271273,85
850.1259446,28.21,76.87,27
654.9646319,19.049989,73.077321,50
1050.019091,19.256471,72.868815,110
1267.05653,31.325966,75.573641,65
1150.086256,26.809242,75.741434,40
844.8442017,28.406388,77.342588,26.3
1075.268817,28.583704,77.360401,100
1016.191315,19.05871,72.89969,150
900.3760394,19.1615,72.8731,170
2058.11138,28.546788,77.378494,170
6000,28.548382,77.327819,750
950.1187648,10.526103,76.19383,36
2015.983872,12.9847,77.5491,280
749.4004796,21.23994,72.85652,12.5
3045.878546,28.47944,76.971432,160
1303.707063,19.1145,72.8712,230
936.0223873,24.69028,78.41889,97
1100.375738,26.832353,75.841749,20.5
704.0070843,13.04724,80.111421,31.8
2000,9.935413,76.298608,130
1678.657074,28.595305,77.347365,63
411.1662322,18.966114,73.148278,48.9
950.0285009,28.576117,77.382136,50
4787.552364,13.04034,77.591347,480
630.2521008,18.4,76.58333,13.5
1823.154057,18.52361,73.84778,160
2250.692521,30.594843,76.84983,65
1399.941055,18.531343,73.877715,190
1635.055592,12.96991,77.59796,100
1896.878772,28.362327,76.979049,110
1600,19.147866,72.932609,250
1447.054818,22.53028,88.33417,85
1640.112465,12.846186,77.693554,70
1110.053917,24.69028,78.41889,70
3333.333333,28.526624,77.376718,250
2708.070049,12.8682,77.5321,300
410.0461302,26.781748,81.006714,16
1512.401694,20.029201,73.787918,100
912.0620202,19.216097,72.821721,120
795.097423,21.19233,79.062102,25.3
443.5607219,18.440853,73.90536,29
1350.121359,12.96991,77.59796,44.5
4000,12.96991,77.59796,400
4769.230769,21.174686,79.045846,310
1897.278651,12.96991,77.59796,99
705.0092764,19.049989,73.077321,57
1510.989011,12.86,77.786,110
643.8113633,19.18,72.96333,120
1100.208147,20.100361,79.103607,37
650.0691563,19.148338,72.995687,47
502.6315789,12.9182,80.0824,19.1
999.6895374,19.2167,73.0833,64.4
628.9308176,13.11389,77.59833,37
1050.228311,23.507414,87.395907,23
1225.186104,18.52361,73.84778,79
1473.005999,22.54111,88.33778,66.3
1250,20.167837,72.77484,24
1614.797416,12.890308,74.833347,55
533.0243337,13.09,80.27,23
2754.820937,22.529,88.368,470
772.4137931,23.554673,87.274204,22.4
900.116144,21.15389,79.08306,31
674.9662517,19.2836,72.8675,45
1773.049645,28.9196,76.8972,120
1200,26.91667,75.86667,45
2015.503876,26.781748,81.006714,78
1075.05864,28.577673,77.389781,55
1190.322581,26.736714,88.447713,36.9
1220.886551,22.403867,88.470006,65
1199.944189,30.689021,76.860403,86
1700.15456,28.582887,77.339935,110
875.1608752,17.68333,75.91667,34
1518.151815,12.896796,77.5724,92
739.9817851,18.558319,73.77588,65
389.5585889,19.161955,72.839616,87.9
1350.154936,9.930471,76.271273,61
1679.966401,28.429614,77.481711,120
5873.586394,12.935541,77.680684,670
1044.045677,19.1759,72.9522,160
1350.024546,21.178534,79.646656,55
1954.686806,28.9196,76.8972,88
1500,22.328394,73.176639,48
1192.307692,26.265915,73.004593,62
1000,23.280294,77.365731,40
1556.247221,22.288976,73.128222,35
514.9738552,24.69028,78.41889,130
1072.194425,28.698133,77.335746,30
1626.898048,24.69028,78.41889,180
700.1647446,21.163131,81.306849,17
1336.184773,13.114624,80.188519,78.1
535.0028458,18.47954,73.875229,47
882.0536017,19.256471,72.868815,78
650.0397984,18.651598,73.735448,49
1370.07874,12.86,77.786,87
1930.235765,12.905368,77.580403,140
730.8254481,19.05871,72.89969,190
1000,19.218498,72.992114,94
650.0956023,18.439098,74.35197,17
2258.512856,18.49667,73.94167,130
2026.929202,28.41667,77.3,140
414.7619048,24.6902,78.416,87.1
1495.35923,28.990399,77.059442,43.5
800,26.9883,75.5846,13
1821.125051,22.5922,88.484911,90
940.8075265,28.574502,77.328608,120
1250,28.9196,76.8972,52
1209.816799,16.498436,80.653706,35
550.017188,18.129209,76.758924,32
1150,22.3,73.2,23
1225.201072,12.9816,77.6729,45.7
408.997955,18.96667,72.83333,70
2685.861624,28.440728,77.114195,500
498.8873735,24.69028,78.41889,69.5
666.0088801,21.142359,72.862596,13.5
1110.045224,24.69028,78.41889,81
950.3239741,21.12904,72.858164,22
1349.325337,30.65,76.82,45
530.2378905,18.6182,73.7447,55.5
1200.274348,21.1677,72.8382,35
1599.680064,19.1759,72.9522,240
1163.636364,22.803593,83.755013,160
113785.558,15.384909,73.850001,7280
2241.010492,22.535636,88.388412,220
942.0022165,12.96991,77.59796,51
301.9171163,19.076057,73.097319,26.3
900.090009,28.9196,76.8972,40
2674.956622,28.5574,77.159,92.5
852.9776675,19.256471,72.868815,110
2106.897316,28.9196,76.8972,190
3495.947879,21.848391,73.100621,220
1600.134748,12.96991,77.59796,95
1326.963907,12.96991,77.59796,75
1505.011565,12.86,77.786,97.6
1296.111665,13.055985,77.622157,78
3501.361641,28.440728,77.114195,630
1400.147384,35,136,76
661.9632436,19.126499,72.99956,76
2070.0207,19.0705,72.8309,690
284.0012622,21.734206,70.456703,9
1299.89295,18.52361,73.84778,85
1300.131062,28.579004,77.431173,49.6
1165.13904,12.9958935,77.761394,75
1135.241856,13.054202,77.674002,46
1645.141451,22.7808,86.1522,53.5
2141.46658,28.368269,77.37273,66
1777.975331,28.510034,77.06508,160
947.6389335,26.900926,75.775927,29.5
1100.196464,27.073397,75.594316,28
1273.828413,16.700359,76.83521,570
797.0849465,13.042089,80.124264,35
823.0452675,11.169483,76.616001,34
630.1502666,26.91667,75.86667,13
1300.284437,24.03687,85.3782,32
1785.469029,28.385415,76.964613,130
1995.609659,22.5922,88.484911,100
3750.161645,12.953042,77.732643,290
1724.137931,12.973237,77.646859,34
1699.346405,22.312358,73.145436,26
1270.417423,26.906098,75.825254,35
675.0392465,25.415663,86.144871,43
1625.282167,28.577673,77.389781,72
1655.878368,12.326657,76.637965,110
1650.252861,16.609758,80.617778,62
650.1011268,24.6902,78.416,22.5
1750.051472,28.6221,77.3674,85
1400,17.80268,83.356136,51.8
1877.410189,19.128324,72.825408,370
1150.190114,28.5035,77.426447,48.4
1767.352185,12.9255,77.6765,110
800.1361934,28.406388,77.342588,23.5
1250,22.403867,88.470006,45
609.0764331,23.399528,85.357421,15.3
2000,18.4543,73.1147,60
1250,12.928575,77.585721,45
954.7934528,26.8626,75.7633,24.5
453.0011325,19.249861,72.963866,64
550.0442,19.18,72.96333,56
2051.158301,22.5922,88.484911,85
2501.924557,28.47944,76.971432,130
1159.243441,20.26444,85.82806,38
940.2914904,12.756152,77.856172,20
1750.087504,19.1758,72.8643,200
1474.993653,22.760061,75.928572,58.1
800,28.6711,77.3683,25
1678.947368,26.91868,75.750399,63.8
2171.612103,19.0164,72.8294,1190
675.024108,18.975268,73.109062,42
1302.241066,21.17,72.83,43
1166.180758,13.0814,77.5566,60
549.7771174,22.29691,70.79836,18.5
1399.825022,21.2612,81.586072,48
1176.683563,12.9847,77.5491,130
1282.568807,35,136,69.9
1609.834626,21.15389,79.08306,110
675.1687922,20.36667,72.9,9
1950.078003,19.139348,72.820458,350
1650,18.092898,83.395794,52.8
1223.380154,12.973237,77.646859,27
1250,26.900926,75.775927,41
1183.522902,22.7808,86.1522,38.5
1960.01568,30.662283,76.822397,50
2700.096432,22.590732,76.635291,56
980.3921569,20.230195,85.816005,23.5
1195.652174,28.456809,77.099182,110
900.297619,22.216168,73.185498,24.2
1328.273245,21.17,72.83,42
1125.112511,24.69028,78.41889,100
830.2364197,19.014858,72.8662,210
1554.118018,11.060813,76.970641,98.5
449.7354497,18.25,76.5,10.2
1210.084034,22.571461,71.811594,36
1800.288046,26.930121,75.790763,75
958.9041096,19.1615,72.8731,140
4800,19.0164,72.8294,4500
1350.0135,18.540684,73.834647,150
949.9136442,15.355645,75.137959,22
1040.041602,19.18,72.96333,180
1449.781659,18.5853,73.7413,83
1350.135014,28.522931,77.357078,60
1579.809004,30.662283,76.822397,57.9
1489.489489,28.2102,76.8606,24.8
750.0610799,22.54111,88.33778,30.7
1419.656786,26.832353,75.841749,45.5
4095.252541,12.9958935,77.761394,270
750,23.25,77.41667,18
883.4442547,24.69028,78.41889,300
910.8108108,19.085225,73.661835,33.7
2526.595745,28.579004,77.431173,95
5000,18.5333,73.9,550
1559.004948,19.095064,73.008003,230
1553.139561,28.9196,76.8972,70
1207.200847,18.510418,73.781944,68.4
1400,28.63676,77.36315,70
1347.708895,22.54111,88.33778,100
2728.264824,28.507037,76.970772,150
2705.882353,26.473073,74.641793,230
1429.272351,19.0167,72.8167,670
716.0268129,19.1849,72.8347,94
1420.051122,26.91667,75.86667,50
970.042796,28.5822,77.3293,68
3899.835796,13.04034,77.591347,380
900.090009,29.676163,77.00806,30
1264.450867,28.874383,77.113251,35
1850.124378,30.682453,76.75696,59.5
1070.079731,12.976741,77.674509,51
840.1344215,22.54111,88.33778,35
2280.068402,28.558047,77.392752,120
1671.681712,28.9196,76.8972,100
3200.189641,12.833224,80.210726,270
722.0216606,19.1145,72.8712,180
1300.027858,18.52361,73.84778,140
1069.93737,30.65,76.82,41
1773.144914,18.96,72.82,330
617.9671647,12.840956,77.659441,33.5
715.0153218,19.2836,72.8675,49
1352.169526,9.994,76.292,67
1199.637845,28.9196,76.8972,53
1363.109049,12.274538,76.644605,47
802.572041,22.648322,88.4431525,33.7
950.1187648,22.68333,88.36667,24
1217.161984,12.9847,77.5491,120
1050.052503,28.629811,77.434197,30
1073.878628,25.444108,81.914212,40.7
609.9916634,18.54138,73.21997,300
777.1073322,12.900422,80.159352,42.5
900.0692361,28.63676,77.36315,39
900.0473709,10.774534,79.836041,38
1079.913607,30.768683,76.650876,20
1565.55773,22.741503,75.815098,40
950.0777336,19.1983,72.8409,110
1474.080747,19.027644,73.061159,180
1250,25.625831,85.100455,68
987.2159091,28.553374,77.355611,27.8
963.2751355,22.089514,82.122996,32
1350.135014,26.832353,75.841749,30
1085.169352,12.8891,77.5973,66
1187.172371,22.5,88.35,77
1800,19.1759,72.9522,270
450,26.75,81,18
1610.087294,13.11389,77.59833,83
1600,28.66667,77.41667,60
875.8683177,22.5922,88.484911,58
1825.047199,20.604366,72.92754,58
750.0340925,25.454822,78.596469,55
1050.130672,13.09,80.27,44.2
1276.190476,30.638175,76.829909,40.2
1050.098447,13.0318,77.6583,48
800,18.52361,73.84778,44
677.2009029,21.232813,72.832454,21
134884.5664,19.908529,73.831516,7420
453.0011325,24.69028,78.41889,68
1118.864852,30.662283,76.822397,48.1
1675.312786,30.662283,76.822397,54.9
989.927058,12.836144,80.232993,57
3200,22.529,88.368,320
932.9149351,19.218498,72.992114,110
1151.271754,12.8706,77.6279,43
1277.013752,28.506454,77.409568,65
1609.340486,21.17,72.83,51
1305.142261,13.036269,77.556107,100
4995.004995,18.49667,73.94167,600
800,15.873765,78.582545,160
1130.00932,24.69028,78.41889,97
960.0529684,18.556218,73.811303,87
1574.590606,12.9958935,77.761394,87.5
917.1252293,18.6182,73.7447,55
780.3790412,22.3,73.2,14
690.0212314,19.2836,72.8675,52
852.4137931,11.074387,77.01851,30.9
816.1044614,21.272756,81.583954,22.5
828.0621047,19.255098,72.9815265,72
1236.009064,19.0713,72.883,180
1135.159679,18.5348,73.9306,75
1050.030883,19.038205,73.06612,68
1847.187238,28.397468,76.945489,110
2182.684225,28.394375,77.357227,77.9
1750.028226,18.518797,73.933947,310
800,25.455213,81.863608,60
1529.79066,19.218498,72.992114,190
1018.387553,19.18,72.96333,180
428.0137341,12.91668,77.59196,91
1287.5,22.35,88.44,41.2
950,28.698133,77.335746,38
1492.537313,18.58584,73.471734,260
1482.030382,13.0318,77.6583,120
1336.784323,19.05871,72.89969,470
1152.308252,21.17,72.83,31.7
745.4323995,28.450804,77.29956,30.6
760.5016922,22.54111,88.33778,38.2
1495.162709,28.5035,77.426447,85
907.1117562,30.712867,76.648557,25
468.0851064,17.524875,73.520142,11
651.8904824,28.9927,77.6824,15
630.0114548,22.67,88.35,22
2150.304083,21.143354,72.770931,99
626.2135922,13.055985,77.622157,64.5
1017.293998,19.061701,73.080488,110
1224.177506,58.69175268,-117.0016994,32
1214.329083,24.69028,78.41889,100
1250,12.9255,77.6765,60
1974.103163,12.87004,77.673275,93
914.0767824,12.86,77.786,40
979.7746518,19.222101,72.988231,140
655.0218341,18.973908,73.025106,45
2067.649242,19.05871,72.89969,390
730.0204918,19.049989,73.077321,57
1225.114855,24.69028,78.41889,40
